callId,systemRef,talkgroupRef,call_time_utc,received_at_utc,backlog_lag,signalJobId
161082,4653,729,2026-03-07 04:22:12,2026-03-08 18:07:02.837559,1 day 13:44:50.837559,""
161081,4653,30060,2026-03-06 19:56:08,2026-03-08 18:07:02.228453,1 day 22:10:54.228453,""
161080,4653,141,2026-03-07 04:22:13,2026-03-08 18:06:59.668818,1 day 13:44:46.668818,""
161079,4653,725,2026-03-07 04:22:11,2026-03-08 18:06:57.331233,1 day 13:44:46.331233,""
161078,4653,1155,2026-03-06 19:56:24,2026-03-08 18:06:56.507714,1 day 22:10:32.507714,""
161077,4653,697,2026-03-07 04:22:07,2026-03-08 18:06:55.709743,1 day 13:44:48.709743,""
161076,4653,243,2026-03-07 04:21:57,2026-03-08 18:06:54.955474,1 day 13:44:57.955474,""
161075,4653,2734,2026-03-06 19:56:09,2026-03-08 18:06:54.189692,1 day 22:10:45.189692,""
161074,4653,935,2026-03-07 04:22:08,2026-03-08 18:06:53.330676,1 day 13:44:45.330676,""
161073,4653,30060,2026-03-07 04:22:04,2026-03-08 18:06:52.601132,1 day 13:44:48.601132,""
